Kind;Code;Dimensions(cm);Height;Depth;Width;Color;In_stock;Minimal_stock;Customer_price;NbPartsByLocker;Supplier1_price;Supplier1_shipping_time;Supplier2_price;Supplier2_shipping_time
Angle iron;ANG150MACUT;150(h) to cut;150;0;0;Marron;87;32;2,03;4;1,28;12;0,77;15
Angle iron;ANG150GACUT;150(h) to cut;150;0;0;Galva;87;32;2,54;4;1,53;6;1,06;11
Angle iron;ANG150BLCUT;150(h) to cut;150;0;0;Black;87;32;1,78;4;1,13;11;0,66;13
Angle iron;ANG175WHCUT;175(h) to cut;175;0;0;White;81;32;3,14;4;1,95;5;1,27;12
Angle iron;ANG175MACUT;175(h) to cut;175;0;0;Marron;83;32;2,51;4;1,62;4;0,95;16
Angle iron;ANG175GACUT;175(h) to cut;175;0;0;Galva;86;32;3,14;4;1,91;11;1,26;15
Angle iron;ANG175BLCUT;175(h) to cut;175;0;0;Black;85;32;2,2;4;1,49;11;0,88;16
Angle iron;ANG200WHCUT;200(h) to cut;200;0;0;White;85;32;3,36;4;2,04;3;1,33;16
Angle iron;ANG200MACUT;200(h) to cut;200;0;0;Marron;86;32;2,69;4;1,8;5;1;17
Angle iron;ANG200GACUT;200(h) to cut;200;0;0;Galva;84;32;3,36;4;2,19;11;1,33;17
Angle iron;ANG200BLCUT;200(h) to cut;200;0;0;Black;90;32;2,35;4;1,56;6;0,9;17
Angle iron;ANG225WHCUT;225(h) to cut;225;0;0;White;88;32;3,8;4;2,45;10;1,56;14
Angle iron;ANG225MACUT;225(h) to cut;225;0;0;Marron;86;32;3,04;4;1,86;11;1,26;8
Angle iron;ANG225GACUT;225(h) to cut;225;0;0;Galva;86;32;3,8;4;2,57;10;1,45;13
Angle iron;ANG225BLCUT;225(h) to cut;225;0;0;Black;88;32;2,66;4;1,76;9;1,1;13
Angle iron;ANG250WHCUT;250(h) to cut;250;0;0;White;87;32;4,42;4;2,72;9;1,68;17
Angle iron;ANG250MACUT;250(h) to cut;250;0;0;Marron;81;32;3,54;4;2,3;10;1,45;17
Angle iron;ANG250GACUT;250(h) to cut;250;0;0;Galva;82;32;4,42;4;2,76;3;1,85;13
Angle iron;ANG250BLCUT;250(h) to cut;250;0;0;Black;86;32;3,09;4;1,91;9;1,18;16
Angle iron;ANG275WHCUT;275(h) to cut;275;0;0;White;82;32;5;4;3,24;7;1,97;14
Angle iron;ANG275MACUT;275(h) to cut;275;0;0;Marron;82;32;4;4;2,4;13;1,54;13
Angle iron;ANG275GACUT;275(h) to cut;275;0;0;Galva;87;32;5;4;3,05;7;1,84;17
Angle iron;ANG275BLCUT;275(h) to cut;275;0;0;Black;81;32;3,5;4;2,28;7;1,42;12
Angle iron;ANG300WHCUT;300(h) to cut;300;0;0;White;90;32;5,18;4;3,45;10;2,1;10
Angle iron;ANG300MACUT;300(h) to cut;300;0;0;Marron;88;32;4,14;4;2,76;10;1,68;11
Angle iron;ANG300GACUT;300(h) to cut;300;0;0;Galva;83;32;5,18;4;3,39;13;1,99;15
Angle iron;ANG300BLCUT;300(h) to cut;300;0;0;Black;84;32;3,63;4;2,24;8;1,49;15
Angle iron;ANG325WHCUT;325(h) to cut;325;0;0;White;86;32;5,18;4;3,45;10;2,1;10
Angle iron;ANG325MACUT;325(h) to cut;325;0;0;Marron;88;32;4,14;4;2,76;10;1,68;11
Angle iron;ANG325GACUT;325(h) to cut;325;0;0;Galva;90;32;5,18;4;3,39;13;1,99;15
Angle iron;ANG325BLCUT;325(h) to cut;325;0;0;Black;87;32;3,63;4;2,24;8;1,49;15
Angle iron;ANG350WHCUT;350(h) to cut;350;0;0;White;84;32;5,18;4;3,45;10;2,1;10
Angle iron;ANG350MACUT;350(h) to cut;350;0;0;Marron;84;32;4,14;4;2,76;10;1,68;11
Angle iron;ANG350GACUT;350(h) to cut;350;0;0;Galva;83;32;5,18;4;3,39;13;1,99;15
Angle iron;ANG350BLCUT;350(h) to cut;350;0;0;Black;85;32;3,63;4;2,24;8;1,49;15
Angle iron;ANG375WHCUT;375(h) to cut;375;0;0;White;82;32;5,18;4;3,45;10;2,1;10
Angle iron;ANG375MACUT;375(h) to cut;375;0;0;Marron;81;32;4,14;4;2,76;10;1,68;11
Angle iron;ANG375GACUT;375(h) to cut;375;0;0;Galva;86;32;5,18;4;3,39;13;1,99;15
Angle iron;ANG375BLCUT;375(h) to cut;375;0;0;Black;89;32;3,63;4;2,24;8;1,49;15
Angle iron;ANG108WH;3x32(h);108;0;0;White;84;32;0,97;4;0,85;7;0,65;13
Angle iron;ANG108MA;3x32(h);108;0;0;Marron;87;32;0,776;4;0,69;7;0,48;11
Angle iron;ANG108GA;3x32(h);108;0;0;Galva;87;32;0,97;4;0,84;6;0,66;14
Angle iron;ANG108BL;3x32(h);108;0;0;Black;86;32;0,679;4;0,55;13;0,44;15
Angle iron;ANG112WH;2x52(h);112;0;0;White;82;32;1,06;4;0,89;12;0,74;13
Angle iron;ANG112MA;2x52(h);112;0;0;Marron;82;32;0,848;4;0,74;5;0,54;11
Angle iron;ANG112GA;2x52(h);112;0;0;Galva;88;32;1,06;4;0,94;8;0,68;14
Angle iron;ANG112BL;2x52(h);112;0;0;Black;89;32;0,742;4;0,62;6;0,45;12
Angle iron;ANG138WH;3x42(h);138;0;0;White;83;32;1,27;4;1,08;11;0,8;14
Angle iron;ANG138MA;3x42(h);138;0;0;Marron;87;32;1,016;4;0,85;12;0,64;15
Angle iron;ANG138GA;3x42(h);138;0;0;Galva;89;32;1,27;4;1,02;6;0,88;11
Angle iron;ANG138BL;3x42(h);138;0;0;Black;83;32;0,889;4;0,75;11;0,55;13
Angle iron;ANG144WH;4x32(h);144;0;0;White;86;32;1,28;4;1,08;3;0,85;14
Angle iron;ANG144MA;4x32(h);144;0;0;Marron;87;32;1,024;4;0,82;11;0,68;13
Angle iron;ANG144GA;4x32(h);144;0;0;Galva;84;32;1,28;4;1,13;12;0,84;9
Angle iron;ANG144BL;4x32(h);144;0;0;Black;88;32;0,896;4;0,8;5;0,62;11
Angle iron;ANG168WH;3x52(h);168;0;0;White;89;32;1,57;4;1,3;5;1,06;12
Angle iron;ANG168MA;3x52(h);168;0;0;Marron;83;32;1,256;4;1,08;4;0,79;16
Angle iron;ANG168GA;3x52(h);168;0;0;Galva;88;32;1,57;4;1,27;11;1,05;15
Angle iron;ANG168BL;3x52(h);168;0;0;Black;80;32;1,099;4;0,99;11;0,73;16
Angle iron;ANG180WH;5x32(h);180;0;0;White;89;32;1,59;4;1,33;7;1,02;9
Angle iron;ANG180MA;5x32(h);180;0;0;Marron;89;32;1,272;4;1,11;11;0,8;9
Angle iron;ANG180GA;5x32(h);180;0;0;Galva;84;32;1,59;4;1,33;9;1,05;9
Angle iron;ANG180BL;5x32(h);180;0;0;Black;83;32;1,113;4;0,94;9;0,7;11
Angle iron;ANG184WH;4x42(h);184;0;0;White;89;32;1,68;4;1,36;3;1,11;16
Angle iron;ANG184MA;4x42(h);184;0;0;Marron;84;32;1,344;4;1,2;5;0,83;17
Angle iron;ANG184GA;4x42(h);184;0;0;Galva;86;32;1,68;4;1,46;11;1,11;17
Angle iron;ANG184BL;4x42(h);184;0;0;Black;88;32;1,176;4;1,04;6;0,75;17
Angle iron;ANG216WH;6x32(h);216;0;0;White;84;32;1,9;4;1,63;10;1,3;14
Angle iron;ANG216MA;6x32(h);216;0;0;Marron;81;32;1,52;4;1,24;11;1,05;8
Angle iron;ANG216GA;6x32(h);216;0;0;Galva;88;32;1,9;4;1,71;10;1,21;13
Angle iron;ANG216BL;6x32(h);216;0;0;Black;80;32;1,33;4;1,17;9;0,92;13
Angle iron;ANG224WH;4x52(h);224;0;0;White;84;32;2,08;4;1,71;7;1,33;10
Angle iron;ANG224MA;4x52(h);224;0;0;Marron;83;32;1,664;4;1,46;9;1,14;11
Angle iron;ANG224GA;4x52(h);224;0;0;Galva;87;32;2,08;4;1,69;4;1,38;16
Angle iron;ANG224BL;4x52(h);224;0;0;Black;84;32;1,456;4;1,25;6;0,88;13
Angle iron;ANG230WH;5x42(h);230;0;0;White;83;32;2,09;4;1,71;4;1,42;15
Angle iron;ANG230MA;5x42(h);230;0;0;Marron;80;32;1,672;4;1,44;6;1,14;13
Angle iron;ANG230GA;5x42(h);230;0;0;Galva;88;32;2,09;4;1,73;9;1,39;15
Angle iron;ANG230BL;5x42(h);230;0;0;Black;83;32;1,463;4;1,28;11;0,96;17
Angle iron;ANG252WH;7x32(h);252;0;0;White;80;32;2,21;4;1,81;9;1,4;17
Angle iron;ANG252MA;7x32(h);252;0;0;Marron;89;32;1,768;4;1,53;10;1,21;17
Angle iron;ANG252GA;7x32(h);252;0;0;Galva;89;32;2,21;4;1,84;3;1,54;13
Angle iron;ANG252BL;7x32(h);252;0;0;Black;80;32;1,547;4;1,27;9;0,98;16
Angle iron;ANG276WH;6x42(h);276;0;0;White;86;32;2,5;4;2,16;7;1,64;14
Angle iron;ANG276MA;6x42(h);276;0;0;Marron;90;32;2;4;1,6;13;1,28;13
Angle iron;ANG276GA;6x42(h);276;0;0;Galva;81;32;2,5;4;2,03;7;1,53;17
Angle iron;ANG276BL;6x42(h);276;0;0;Black;83;32;1,75;4;1,52;7;1,18;12
Angle iron;ANG280WH;5x52(h);280;0;0;White;84;32;2,59;4;2,3;10;1,75;10
Angle iron;ANG280MA;5x52(h);280;0;0;Marron;86;32;2,072;4;1,84;10;1,4;11
Angle iron;ANG280GA;5x52(h);280;0;0;Galva;86;32;2,59;4;2,26;13;1,66;15
Angle iron;ANG280BL;5x52(h);280;0;0;Black;86;32;1,813;4;1,49;8;1,24;15
Angle iron;ANG36WH;1x32(h);36;0;0;White;84;32;0,35;4;0,3;3;0,23;9
Angle iron;ANG36MA;1x32(h);36;0;0;Marron;82;32;0,28;4;0,24;6;0,18;16
Angle iron;ANG36GA;1x32(h);36;0;0;Galva;81;32;0,35;4;0,3;7;0,24;14
Angle iron;ANG36BL;1x32(h);36;0;0;Black;84;32;0,245;4;0,21;7;0,15;17
Angle iron;ANG46WH;1x42(h);46;0;0;White;89;32;0,45;4;0,37;12;0,3;9
Angle iron;ANG46MA;1x42(h);46;0;0;Marron;87;32;0,36;4;0,29;4;0,24;9
Angle iron;ANG46GA;1x42(h);46;0;0;Galva;82;32;0,45;4;0,37;10;0,27;14
Angle iron;ANG46BL;1x42(h);46;0;0;Black;90;32;0,315;4;0,26;9;0,2;11
Angle iron;ANG56WH;1x52(h);56;0;0;White;89;32;0,55;4;0,46;3;0,35;9
Angle iron;ANG56MA;1x52(h);56;0;0;Marron;86;32;0,44;4;0,38;9;0,27;13
Angle iron;ANG56GA;1x52(h);56;0;0;Galva;82;32;0,55;4;0,48;8;0,37;15
Angle iron;ANG56BL;1x52(h);56;0;0;Black;89;32;0,385;4;0,34;6;0,27;12
Angle iron;ANG72WH;2x32(h);72;0;0;White;82;32;0,66;4;0,54;12;0,45;18
Angle iron;ANG72MA;2x32(h);72;0;0;Marron;85;32;0,528;4;0,46;12;0,37;12
Angle iron;ANG72GA;2x32(h);72;0;0;Galva;83;32;0,66;4;0,58;4;0,4;13
Angle iron;ANG72BL;2x32(h);72;0;0;Black;81;32;0,462;4;0,39;13;0,31;13
Angle iron;ANG92WH;2x42(h);92;0;0;White;85;32;0,86;4;0,72;6;0,6;18
Angle iron;ANG92MA;2x42(h);92;0;0;Marron;83;32;0,688;4;0,58;12;0,43;8
Angle iron;ANG92GA;2x42(h);92;0;0;Galva;82;32;0,86;4;0,75;5;0,52;12
Angle iron;ANG92BL;2x42(h);92;0;0;Black;87;32;0,602;4;0,51;10;0,38;14
Cup handle;CUPHANDLE;6cmDiam;0;0;0;;42;16;0,005;2;0,004;13;0,0035;13
Left or right panel ;LRP3232WH;32(h)x32(p);32;32;0;White;45;16;5,12;2;4,53;13;3,43;12
Left or right panel ;LRP3232MA;32(h)x32(p);32;32;0;Marron;44;16;4,096;2;3,6;9;2,52;17
Left or right panel ;LRP3242WH;32(h)x42(p);32;42;0;White;50;16;6,72;2;5,82;10;4,12;12
Left or right panel ;LRP3242MA;32(h)x42(p);32;42;0;Marron;48;16;5,376;2;4,47;6;3,28;10
Left or right panel ;LRP3252WH;32(h)x52(p);32;52;0;White;41;16;8,32;2;6,9;7;5,62;10
Left or right panel ;LRP3252MA;32(h)x52(p);32;52;0;Marron;42;16;6,656;2;5,49;7;4,25;11
Left or right panel ;LRP3262WH;32(h)x62(p);32;62;0;White;49;16;9,92;2;8,31;5;6,31;10
Left or right panel ;LRP3262MA;32(h)x62(p);32;62;0;Marron;41;16;7,936;2;6,49;13;4,9;9
Left or right panel ;LRP4232WH;42(h)x32(p);42;32;0;White;49;16;6,72;2;5,46;11;4,3;9
Left or right panel ;LRP4232MA;42(h)x32(p);42;32;0;Marron;41;16;5,376;2;4,42;9;3,58;15
Left or right panel ;LRP4242WH;42(h)x42(p);42;42;0;White;43;16;8,82;2;7,65;6;5,79;14
Left or right panel ;LRP4242MA;42(h)x42(p);42;42;0;Marron;43;16;7,056;2;6,2;9;4,84;8
Left or right panel ;LRP4252WH;42(h)x52(p);42;52;0;White;45;16;10,92;2;9,16;5;7,09;10
Left or right panel ;LRP4252MA;42(h)x52(p);42;52;0;Marron;47;16;8,736;2;7,05;8;5,98;14
Left or right panel ;LRP4262WH;42(h)x62(p);42;62;0;White;43;16;13,02;2;10,93;7;9,06;17
Left or right panel ;LRP4262MA;42(h)x62(p);42;62;0;Marron;45;16;10,416;2;9,29;4;6,91;15
Left or right panel ;LRP5232WH;52(h)x32(p);52;32;0;White;50;16;8,32;2;6,83;9;5,71;11
Left or right panel ;LRP5232MA;52(h)x32(p);52;32;0;Marron;47;16;6,656;2;5,39;5;4,62;14
Left or right panel ;LRP5242WH;52(h)x42(p);52;42;0;White;47;16;10,92;2;9,32;9;7,05;12
Left or right panel ;LRP5242MA;52(h)x42(p);52;42;0;Marron;49;16;8,736;2;7,36;3;5,55;16
Left or right panel ;LRP5252WH;52(h)x52(p);52;52;0;White;47;16;13,52;2;11,51;6;9,44;9
Left or right panel ;LRP5252MA;52(h)x52(p);52;52;0;Marron;47;16;10,816;2;8,81;11;7,27;9
Left or right panel ;LRP5262WH;52(h)x62(p);52;62;0;White;48;16;16,12;2;14,35;12;10,43;17
Left or right panel ;LRP5262MA;52(h)x62(p);52;62;0;Marron;44;16;12,896;2;11;11;8,75;13
Bottom or top panel;BTP32100WH;32(p)x100(L);0;32;100;White;49;16;16;2;12,97;6;11,07;15
Bottom or top panel;BTP32100MA;32(p)x100(L);0;32;100;Marron;42;16;12,8;2;11,29;10;7,77;9
Bottom or top panel;BTP32120WH;32(p)x120(L);0;32;120;White;47;16;19,2;2;16,99;6;12,39;11
Bottom or top panel;BTP32120MA;32(p)x120(L);0;32;120;Marron;50;16;15,36;2;13,3;9;10,73;14
Bottom or top panel;BTP3232WH;32(p)x32(L);0;32;32;White;50;16;5,12;2;4,31;7;3,33;14
Bottom or top panel;BTP3232MA;32(p)x32(L);0;32;32;Marron;41;16;4,096;2;3,34;9;2,64;14
Bottom or top panel;BTP3242WH;32(p)x42(L);0;32;42;White;42;16;6,72;2;5,41;4;4,33;17
Bottom or top panel;BTP3242MA;32(p)x42(L);0;32;42;Marron;46;16;5,376;2;4,3;7;3,61;16
Bottom or top panel;BTP3252WH;32(p)x52(L);0;32;52;White;41;16;8,32;2;6,66;11;5,31;17
Bottom or top panel;BTP3252MA;32(p)x52(L);0;32;52;Marron;48;16;6,656;2;5,67;11;4,51;15
Bottom or top panel;BTP3262WH;32(p)x62(L);0;32;62;White;44;16;9,92;2;8,49;8;6,31;14
Bottom or top panel;BTP3262MA;32(p)x62(L);0;32;62;Marron;44;16;7,936;2;6,92;4;4,94;11
Bottom or top panel;BTP3280WH;32(p)x80(L);0;32;80;White;48;16;12,8;2;10,73;11;8,22;13
Bottom or top panel;BTP3280MA;32(p)x80(L);0;32;80;Marron;48;16;10,24;2;8,6;8;6,2;17
Bottom or top panel;BTP42100WH;42(p)x100(L);0;42;100;White;46;16;21;2;17,7;6;14,3;10
Bottom or top panel;BTP42100MA;42(p)x100(L);0;42;100;Marron;43;16;16,8;2;15,01;4;10,23;8
Bottom or top panel;BTP42120WH;42(p)x120(L);0;42;120;White;41;16;25,2;2;22,21;13;16,22;10
Bottom or top panel;BTP42120MA;42(p)x120(L);0;42;120;Marron;45;16;20,16;2;17,65;8;12,4;15
Bottom or top panel;BTP4232WH;42(p)x32(L);0;42;32;White;43;16;6,72;2;5,71;3;4,55;17
Bottom or top panel;BTP4232MA;42(p)x32(L);0;42;32;Marron;43;16;5,376;2;4,41;10;3,34;9
Bottom or top panel;BTP4242WH;42(p)x42(L);0;42;42;White;40;16;8,82;2;7,33;4;5,95;18
Bottom or top panel;BTP4242MA;42(p)x42(L);0;42;42;Marron;44;16;7,056;2;5,92;9;4,7;11
Bottom or top panel;BTP4252WH;42(p)x52(L);0;42;52;White;46;16;10,92;2;9,72;7;6,95;13
Bottom or top panel;BTP4252MA;42(p)x52(L);0;42;52;Marron;46;16;8,736;2;7,07;5;5,87;16
Bottom or top panel;BTP4262WH;42(p)x62(L);0;42;62;White;45;16;13,02;2;10,91;11;8,55;10
Bottom or top panel;BTP4262MA;42(p)x62(L);0;42;62;Marron;48;16;10,416;2;9,28;6;7,11;16
Bottom or top panel;BTP4280WH;42(p)x80(L);0;42;80;White;50;16;16,8;2;13,6;7;11,46;12
Bottom or top panel;BTP4280MA;42(p)x80(L);0;42;80;Marron;45;16;13,44;2;11,02;12;8,22;10
Bottom or top panel;BTP52100WH;52(p)x100(L);0;52;100;White;49;16;26;2;23,33;4;18,15;15
Bottom or top panel;BTP52100MA;52(p)x100(L);0;52;100;Marron;42;16;20,8;2;17,94;12;14,2;14
Bottom or top panel;BTP52120WH;52(p)x120(L);0;52;120;White;49;16;31,2;2;28;6;20,47;16
Bottom or top panel;BTP52120MA;52(p)x120(L);0;52;120;Marron;49;16;24,96;2;20,67;6;16,37;8
Bottom or top panel;BTP5232WH;52(p)x32(L);0;52;32;White;45;16;8,32;2;7,25;5;5,06;8
Bottom or top panel;BTP5232MA;52(p)x32(L);0;52;32;Marron;42;16;6,656;2;5,44;8;4,12;10
Bottom or top panel;BTP5242WH;52(p)x42(L);0;52;42;White;44;16;10,92;2;9,46;12;7,32;12
Bottom or top panel;BTP5242MA;52(p)x42(L);0;52;42;Marron;45;16;8,736;2;7,03;7;5,48;15
Bottom or top panel;BTP5252WH;52(p)x52(L);0;52;52;White;42;16;13,52;2;11,25;8;8,46;14
Bottom or top panel;BTP5252MA;52(p)x52(L);0;52;52;Marron;43;16;10,816;2;9,67;12;6,51;14
Bottom or top panel;BTP5262WH;52(p)x62(L);0;52;62;White;46;16;16,12;2;13,65;12;11,02;12
Bottom or top panel;BTP5262MA;52(p)x62(L);0;52;62;Marron;42;16;12,896;2;10,83;6;8,75;17
Bottom or top panel;BTP5280WH;52(p)x80(L);0;52;80;White;41;16;20,8;2;17,55;7;12,67;12
Bottom or top panel;BTP5280MA;52(p)x80(L);0;52;80;Marron;48;16;16,64;2;14,27;7;10,38;9
Bottom or top panel;BTP62100WH;62(p)x100(L);0;62;100;White;44;16;31;2;26,08;4;20,87;16
Bottom or top panel;BTP62100MA;62(p)x100(L);0;62;100;Marron;50;16;24,8;2;21,16;12;15,11;17
Bottom or top panel;BTP62120WH;62(p)x120(L);0;62;120;White;43;16;37,2;2;33,13;6;25,73;17
Bottom or top panel;BTP62120MA;62(p)x120(L);0;62;120;Marron;45;16;29,76;2;26,55;12;18,22;9
Bottom or top panel;BTP6232WH;62(p)x32(L);0;62;32;White;44;16;9,92;2;8,92;11;6,76;14
Bottom or top panel;BTP6232MA;62(p)x32(L);0;62;32;Marron;48;16;7,936;2;6,52;5;5,12;17
Bottom or top panel;BTP6242WH;62(p)x42(L);0;62;42;White;44;16;13,02;2;11,02;6;8,38;17
Bottom or top panel;BTP6242MA;62(p)x42(L);0;62;42;Marron;40;16;10,416;2;9,12;11;6,39;16
Bottom or top panel;BTP6252WH;62(p)x52(L);0;62;52;White;44;16;16,12;2;14,1;6;9,68;12
Bottom or top panel;BTP6252MA;62(p)x52(L);0;62;52;Marron;45;16;12,896;2;11,56;10;8,04;10
Bottom or top panel;BTP6262WH;62(p)x62(L);0;62;62;White;46;16;19,22;2;15,86;12;12,92;14
Bottom or top panel;BTP6262MA;62(p)x62(L);0;62;62;Marron;45;16;15,376;2;13,41;7;10,41;12
Bottom or top panel;BTP6280WH;62(p)x80(L);0;62;80;White;48;16;24,8;2;22,2;5;15,1;10
Bottom or top panel;BTP6280MA;62(p)x80(L);0;62;80;Marron;50;16;19,84;2;17,8;7;12,21;18
Back panel;BKP32100WH;32(h)x100(L);32;0;100;White;21;8;16;1;12,92;13;9,81;14
Back panel;BKP32100MA;32(h)x100(L);32;0;100;Marron;23;8;12,8;1;11,31;11;8,93;11
Back panel;BKP32120WH;32(h)x120(L);32;0;120;White;30;8;19,2;1;15,54;6;12,31;10
Back panel;BKP32120MA;32(h)x120(L);32;0;120;Marron;29;8;15,36;1;13,31;5;10,09;17
Back panel;BKP3232WH;32(h)x32(L);32;0;32;White;23;8;5,12;1;4,24;10;3,34;14
Back panel;BKP3232MA;32(h)x32(L);32;0;32;Marron;26;8;4,096;1;3,29;7;2,46;16
Back panel;BKP3242WH;32(h)x42(L);32;0;42;White;29;8;6,72;1;6;7;4,36;13
Back panel;BKP3242MA;32(h)x42(L);32;0;42;Marron;21;8;5,376;1;4,46;8;3,34;13
Back panel;BKP3252WH;32(h)x52(L);32;0;52;White;21;8;8,32;1;7,36;7;5,51;14
Back panel;BKP3252MA;32(h)x52(L);32;0;52;Marron;24;8;6,656;1;5,65;4;4,28;10
Back panel;BKP3262WH;32(h)x62(L);32;0;62;White;26;8;9,92;1;8,88;12;6,22;17
Back panel;BKP3262MA;32(h)x62(L);32;0;62;Marron;27;8;7,936;1;6,43;7;5,51;8
Back panel;BKP3280WH;32(h)x80(L);32;0;80;White;25;8;12,8;1;10,43;10;8,17;12
Back panel;BKP3280MA;32(h)x80(L);32;0;80;Marron;29;8;10,24;1;8,44;3;6,16;11
Back panel;BKP42100WH;42(h)x100(L);42;0;100;White;27;8;26;1;22,63;6;16,3;11
Back panel;BKP42100MA;42(h)x100(L);42;0;100;Marron;24;8;16,8;1;13,61;13;10,12;15
Back panel;BKP42120WH;42(h)x120(L);42;0;120;White;30;8;31,2;1;25,98;7;21,59;16
Back panel;BKP42120MA;42(h)x120(L);42;0;120;Marron;21;8;20,16;1;16,16;10;13,25;10
Back panel;BKP4232WH;42(h)x32(L);42;0;32;White;23;8;8,32;1;7,1;10;5,71;14
Back panel;BKP4232MA;42(h)x32(L);42;0;32;Marron;25;8;5,376;1;4,66;13;3,53;17
Back panel;BKP4242WH;42(h)x42(L);42;0;42;White;29;8;10,92;1;9,82;4;7,03;9
Back panel;BKP4242MA;42(h)x42(L);42;0;42;Marron;25;8;7,056;1;5,73;10;4,71;15
Back panel;BKP4252WH;42(h)x52(L);42;0;52;White;24;8;13,52;1;11,72;7;8,48;13
Back panel;BKP4252MA;42(h)x52(L);42;0;52;Marron;26;8;8,736;1;7,24;10;5,68;11
Back panel;BKP4262WH;42(h)x62(L);42;0;62;White;30;8;16,12;1;13,69;6;10,64;17
Back panel;BKP4262MA;42(h)x62(L);42;0;62;Marron;27;8;10,416;1;9,09;5;6,75;17
Back panel;BKP4280WH;42(h)x80(L);42;0;80;White;24;8;20,8;1;16,86;6;13,83;8
Back panel;BKP4280MA;42(h)x80(L);42;0;80;Marron;26;8;13,44;1;11,33;4;9,41;17
Back panel;BKP52100WH;52(h)x100(L);52;0;100;White;27;8;26;1;21,89;9;17,85;9
Back panel;BKP52100MA;52(h)x100(L);52;0;100;Marron;23;8;20,8;1;17,2;7;14,07;13
Back panel;BKP52120WH;52(h)x120(L);52;0;120;White;30;8;31,2;1;26,99;6;20,81;18
Back panel;BKP52120MA;52(h)x120(L);52;0;120;Marron;24;8;24,96;1;19,98;9;16,12;10
Back panel;BKP5232WH;52(h)x32(L);52;0;32;White;28;8;8,32;1;7,32;5;5,33;17
Back panel;BKP5232MA;52(h)x32(L);52;0;32;Marron;22;8;6,656;1;5,99;9;4,11;10
Back panel;BKP5242WH;52(h)x42(L);52;0;42;White;20;8;10,92;1;9,11;9;7,52;16
Back panel;BKP5242MA;52(h)x42(L);52;0;42;Marron;20;8;8,736;1;7,48;5;5,64;14
Back panel;BKP5252WH;52(h)x52(L);52;0;52;White;22;8;13,52;1;10,98;9;8,45;14
Back panel;BKP5252MA;52(h)x52(L);52;0;52;Marron;24;8;10,816;1;9,26;8;6,66;10
Back panel;BKP5262WH;52(h)x62(L);52;0;62;White;28;8;16,12;1;14,09;11;10,72;15
Back panel;BKP5262MA;52(h)x62(L);52;0;62;Marron;28;8;12,896;1;10,67;8;8,46;15
Back panel;BKP5280WH;52(h)x80(L);52;0;80;White;28;8;20,8;1;16,91;13;13,57;18
Back panel;BKP5280MA;52(h)x80(L);52;0;80;Marron;28;8;16,64;1;14,23;13;10,31;17
Door;DOR3232WH;32(h)x32(L);32;0;32;White;41;16;5,12;2;4,31;7;3,14;8
Door;DOR3232MA;32(h)x32(L);32;0;32;Marron;46;16;5,12;2;4,14;4;3,45;8
Door;DOR3232GL;32(h)x32(L);32;0;32;Glass;46;16;10,24;2;8,79;11;6,3;16
Door;DOR3242WH;32(h)x42(L);32;0;42;White;42;16;6,72;2;5,6;10;4,35;14
Door;DOR3242MA;32(h)x42(L);32;0;42;Marron;42;16;6,72;2;5,98;7;4,68;13
Door;DOR3242GL;32(h)x42(L);32;0;42;Glass;50;16;13,44;2;11,23;5;9;14
